Назва товару,Ціна,Стан,Дата публікації,Місто,Район,Координати на карті,Продавець,Магазин,Посилання на оголошення
Stern Motion 1.0 горный mtb гравел,6 000 грн.,Б/в,2022-07-17,Новомосковськ,,"48.63296, 35.22416",Никита,,https://www.olx.ua/d/uk/obyavlenie/stern-motion-1-0-gornyy-mtb-gravel-IDP9JOY.html
"Гравийный Gravel велосипед Winner 50 рама, размер S",6 500 грн.,Б/в,2022-08-01,Дніпро,Центральний,"48.463, 35.02387",Роман,,https://www.olx.ua/d/uk/obyavlenie/graviynyy-gravel-velosiped-winner-50-rama-razmer-s-IDPhtZf.html
"Велосипед, Giant GSR600, 28",6 990 грн.,Б/в,2020-08-19,Мерефа,,"49.80847, 36.05035",Валентин,,https://www.olx.ua/d/uk/obyavlenie/velosiped-giant-gsr600-28-IDIXVsI.html
"Велосипед гравійний Gravel Merida Silex 400 2019, Shimano 105",43 500 грн.,Б/в,2022-07-19,Івано-Франківськ,,"48.91819, 24.71343",Назар,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravyniy-gravel-merida-silex-400-2019-shimano-105-IDPaSbe.html
"РОЗНИЦА опт дропшиппинг алюміній гревел Crosser Gravel NORD 28"" Trek",8 990 грн.,Нові,2021-06-01,Київ,Голосіївський,"50.35684, 30.51985",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/uk/obyavlenie/roznitsa-opt-dropshipping-alyumny-grevel-crosser-gravel-nord-28-trek-IDLNtsQ.html
"Гравел велосипед Crosser Nord  28""",9 400 грн.,Нові,2021-04-28,Одеса,Київський,"46.38471, 30.70913",Артур,А-ВЕЛО,https://www.olx.ua/d/uk/obyavlenie/gravel-velosiped-crosser-nord-28-IDLtCMo.html
шосейний велосипед bianchi / гібрид / гравел,8 000 грн.,Б/в,2022-06-07,Київ,Солом'янський,"50.41313, 30.44339",Володимир,,https://www.olx.ua/d/uk/obyavlenie/shoseyniy-velosiped-bianchi-gbrid-gravel-IDOP2Qz.html
"Велосипед Cube Cross Race Disc Pro /// Gravel (гравійний, циклокросс)",8 000 грн.,Б/в,2022-04-09,Бершадь,,"48.36693, 29.5254",Артур,,https://www.olx.ua/d/uk/obyavlenie/velosiped-cube-cross-race-disc-pro-gravel-gravyniy-tsiklokross-IDOoekC.html
Спорт шоссе - город. ХВЗ. 29 колеса Gravel,8 000 грн.,Б/в,2022-06-30,Харків,Немишлянський,"49.96659, 36.33448",Валерий,,https://www.olx.ua/d/uk/obyavlenie/sport-shosse-gorod-hvz-29-kolesa-gravel-IDP0IK5.html
Велосипед на раме Турист. Спорт. Шоссе-город. 29 Gravel,8 000 грн.,Б/в,2022-06-26,Харків,Немишлянський,"49.96659, 36.33448",Валерий,,https://www.olx.ua/d/uk/obyavlenie/velosiped-na-rame-turist-sport-shosse-gorod-29-gravel-IDOYTI2.html
Гравийный велосипед Crosser Gravel NORD 28x700C (17/19/21) 14S/16S,8 800 грн.,Нові,2022-06-25,Одеса,Київський,"46.38471, 30.70913",Павел,,https://www.olx.ua/d/uk/obyavlenie/graviynyy-velosiped-crosser-gravel-nord-28x700c-17-19-21-14s-16s-IDOYvgz.html
"Велосипед алюминий гревел  Crosser Gravel NORD 28"" Giant гравел гревэл",8 990 грн.,Нові,2021-05-31,Одеса,Київський,"46.38471, 30.70913",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/uk/obyavlenie/velosiped-alyuminiy-grevel-crosser-gravel-nord-28-giant-gravel-grevel-IDLMQQw.html
"Велосипед Crosser Gravel NORD 28"" Giant гравел алюминий гревэл",8 990 грн.,Нові,2022-06-13,Одеса,Київський,"46.38471, 30.70913",Ігор,,https://www.olx.ua/d/uk/obyavlenie/velosiped-crosser-gravel-nord-28-giant-gravel-alyuminiy-grevel-IDORSkA.html
"Велосипед Crosser Gravel NORD 28"" Giant алюминий гревел гравел гревэл",8 990 грн.,Нові,2022-06-30,Одеса,Київський,"46.38471, 30.70913",Ігор,,https://www.olx.ua/d/uk/obyavlenie/velosiped-crosser-gravel-nord-28-giant-alyuminiy-grevel-gravel-grevel-IDP0Q9d.html
"Велосипед алюминий гревел Crosser Gravel NORD 28"" Giant гравел гревэл",8 990 грн.,Нові,2022-06-16,Одеса,Київський,"46.38471, 30.70913",Игорь,,https://www.olx.ua/d/uk/obyavlenie/velosiped-alyuminiy-grevel-crosser-gravel-nord-28-giant-gravel-grevel-IDOTwaP.html
Bulls гравел 28 колеса Рама L,9 000 грн.,Б/в,2022-08-08,Корець,,"50.62277, 27.16145",Олег,,https://www.olx.ua/d/uk/obyavlenie/bulls-gravel-28-kolesa-rama-l-IDPlvls.html
Велосипед гравел Felt breed 20,39 200 грн.,Б/в,2022-07-07,Чернівці,,"48.3, 25.93",Вело Світ,VeloSvit,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-felt-breed-20-IDP4H4X.html
Циклокрос гравійник Canyon Inflite AL 9.0,49 990 грн.,Б/в,2022-08-08,Одеса,Київський,"46.38471, 30.70913",Руслан,velomedutin,https://www.olx.ua/d/uk/obyavlenie/tsiklokros-gravynik-canyon-inflite-al-9-0-IDPljNP.html
"Новый алюминиевый велосипед 28"" Leader Fox (Author) дорожный, туринг!",7 995 грн.,Нові,2022-08-04,Київ,Голосіївський,"50.35684, 30.51985",Сергей,,https://www.olx.ua/d/uk/obyavlenie/novyy-alyuminievyy-velosiped-28-leader-fox-author-dorozhnyy-turing-IDPjjKd.html
"Crosser Gravel 28 - велосипед NORD/ROAD/Point/XC-300(гравел,шоссейный)",9 200 грн.,Нові,2022-05-28,Київ,Дарницький,"50.40931, 30.69263",ВелоОпт,ВелоОПТ,https://www.olx.ua/d/uk/obyavlenie/crosser-gravel-28-velosiped-nord-road-point-xc-300gravel-shosseynyy-IDOJ6Xh.html
"МТБ среднего уровня 175-185см Gt Avalanche Elite M 27,5 система 1х9",9 500 грн.,Б/в,2021-08-01,Харків,Салтівський,"49.962, 36.343",Максим,,https://www.olx.ua/d/uk/obyavlenie/mtb-srednego-urovnya-175-185sm-gt-avalanche-elite-m-27-5-sistema-1h9-IDMkjM4.html
"Велосипед гревел Crosser Gravel NORD 28"" Giant Велосипед гревэл",9 990 грн.,Нові,2022-06-07,Одеса,Київський,"46.38471, 30.70913",Ігор,,https://www.olx.ua/d/uk/obyavlenie/velosiped-grevel-crosser-gravel-nord-28-giant-velosiped-grevel-IDOOEpZ.html
"Велосипед алюминий гревел Crosser Gravel NORD 28"" Giant гравел гревэл",9 990 грн.,Нові,2022-06-05,Одеса,Приморський,"46.467, 30.745",Igor,,https://www.olx.ua/d/uk/obyavlenie/velosiped-alyuminiy-grevel-crosser-gravel-nord-28-giant-gravel-grevel-IDONGGc.html
Велосипед алюминий гревел Crosser Gravel NORD 28 Giant велосипедгревэл,9 990 грн.,Нові,2022-06-06,Одеса,Київський,"46.38471, 30.70913",Igor,,https://www.olx.ua/d/uk/obyavlenie/velosiped-alyuminiy-grevel-crosser-gravel-nord-28-giant-velosipedgrevel-IDOO5Tu.html
"Велосипед алюминий гревел Crosser Gravel NORD 28"" Giant гревэл",9 990 грн.,Нові,2022-07-02,Одеса,Київський,"46.38471, 30.70913",Игорь,,https://www.olx.ua/d/uk/obyavlenie/velosiped-alyuminiy-grevel-crosser-gravel-nord-28-giant-grevel-IDP1Np4.html
"Велосипед гревел алюминий Crosser Gravel NORD 28"" Giant гравел гревэл",9 990 грн.,Нові,2022-05-30,Одеса,Приморський,"46.467, 30.745",Мишка,,https://www.olx.ua/d/uk/obyavlenie/velosiped-grevel-alyuminiy-crosser-gravel-nord-28-giant-gravel-grevel-IDOKruF.html
Велосипед шоссейный алюминий Crosser Road 28 Gravel NORD  гревел,9 995 грн.,Нові,2022-07-18,Одеса,Київський,"46.38471, 30.70913",Ігор,,https://www.olx.ua/d/uk/obyavlenie/velosiped-shosseynyy-alyuminiy-crosser-road-28-gravel-nord-grevel-IDPacfZ.html
НОВЫЙ шоссейный алюминий Crosser Road 28 Gravel NORD циклокросс гревел,9 995 грн.,Нові,2022-07-11,Одеса,Київський,"46.38471, 30.70913",Ігор,,https://www.olx.ua/d/uk/obyavlenie/novyy-shosseynyy-alyuminiy-crosser-road-28-gravel-nord-tsiklokross-grevel-IDP6ggf.html
Туринг/Гравел/Хромоль/Cr-Mo,10 000 грн.,Б/в,2022-08-03,Харків,Слобідський,"49.93914, 36.28963",Максим,,https://www.olx.ua/d/uk/obyavlenie/turing-gravel-hromol-cr-mo-IDPiNcD.html
"Електричний гравійний  Corratec E-Allroad Gravel 28"" (2020) Sram",57 000 грн.,Б/в,2022-08-06,Івано-Франківськ,,"48.91819, 24.71343",Ua ' If,,https://www.olx.ua/d/uk/obyavlenie/elektrichniy-gravyniy-corratec-e-allroad-gravel-28-2020-sram-IDPkgCC.html
"Гравийный велосипед DeMARCHE Gravel Point 28"" L-TWOO ( 2х9) 2022",15 885 грн.,Нові,2021-05-28,Харків,Холодногірський,"50, 36.165",Игорь,Микс-павильон.,https://www.olx.ua/d/uk/obyavlenie/graviynyy-velosiped-demarchegravel-point-28-l-twoo-2h9-2022-IDLKZef.html
Scott Speedster Gravel 30 (2020),40 000 грн.,Б/в,2022-08-06,Івано-Франківськ,,"48.91819, 24.71343",Іван,,https://www.olx.ua/d/uk/obyavlenie/scott-speedster-gravel-30-2020-IDPkgfq.html
Гравийный велосипед Алюминий 19 рама Crosser Nord 28 М 16S,10 000 грн.,Б/в,2021-12-27,Київ,Дарницький,"50.40931, 30.69263",Александр,,https://www.olx.ua/d/uk/obyavlenie/graviynyy-velosiped-alyuminiy-19-rama-crosser-nord-28-m-16s-IDNK5ds.html
"Велосипеды Гравел Crosser Nord 28"" шоссейный,фикс,гравийный (Новые!)",10 100 грн.,Нові,2021-07-08,Львів,Галицький,"49.83524, 24.03517",Данил,,https://www.olx.ua/d/uk/obyavlenie/velosipedy-gravel-crosser-nord-28-shosseynyy-fiks-graviynyy-novye-IDM89hY.html
"Гравийный велосипед Crosser Nord 28"" (Новые!) гравел,шоссейный,фикс.",10 100 грн.,Нові,2021-07-08,Одеса,Київський,"46.38471, 30.70913",Данил,,https://www.olx.ua/d/uk/obyavlenie/graviynyy-velosiped-crosser-nord-28-novye-gravel-shosseynyy-fiks-IDM8969.html
"Велосипеды Crosser Nord 28"" шоссейный,фикс,гравийный (Новые!)",10 100 грн.,Нові,2022-03-23,Рівне,,"50.61634, 26.257",Данил,,https://www.olx.ua/d/uk/obyavlenie/velosipedy-crosser-nord-28-shosseynyy-fiks-graviynyy-novye-IDOjtjl.html
"Гравийный велосипед Crosser Nord 28"" шоссейный,фикс,гравийный (Новые!)",10 100 грн.,Нові,2022-03-23,Полтава,,"49.5991, 34.55674",Данил,,https://www.olx.ua/d/uk/obyavlenie/graviynyy-velosiped-crosser-nord-28-shosseynyy-fiks-graviynyy-novye-IDOjtkT.html
"Гравел Crosser Nord 28"" шоссейный,фикс,гравийный (Новые!)",10 100 грн.,Нові,2022-03-23,Черкаси,,"49.4141, 32.06042",Данил,,https://www.olx.ua/d/uk/obyavlenie/gravel-crosser-nord-28-shosseynyy-fiks-graviynyy-novye-IDOjtiv.html
"Гравел,шоссейный,фикс,гравийный велосипед Crosser Nord 28"" (Новые!)",10 100 грн.,Нові,2021-06-30,Київ,Голосіївський,"50.35684, 30.51985",Данил,,https://www.olx.ua/d/uk/obyavlenie/gravel-shosseynyy-fiks-graviynyy-velosiped-crosser-nord-28-novye-IDM3Klu.html
"Велосипед гравійний Gravel Merida Silex 400 2019, Shimano 105",43 500 грн.,Б/в,2022-07-19,Івано-Франківськ,,"48.91819, 24.71343",Назар,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravyniy-gravel-merida-silex-400-2019-shimano-105-IDPaSbe.html
Гравийные велосипеды DeMarche 2022 Product от Производителя,16 900 грн.,Нові,2022-06-08,Одеса,Малиновський,"46.46309, 30.67813",Менеджер,,https://www.olx.ua/d/uk/obyavlenie/graviynye-velosipedy-demarche-2022-product-ot-proizvoditelya-IDOPeKb.html
29x3.0 Salsa Fargo Custom гравийный монстеркросс гравел гравийник,99 999 грн.,Б/в,2022-04-09,Хмельницький,,"49.40611, 27.0045",Продавец,,https://www.olx.ua/d/uk/obyavlenie/29x3-0-salsa-fargo-custom-graviynyy-monsterkross-gravel-graviynik-IDOnYZP.html
"Топ. Велосипед гравел алюминий  Crosser Gravel NORD 28"" Giant гревел",10 290 грн.,Нові,2022-07-09,Одеса,Приморський,"46.467, 30.745",Ігор,,https://www.olx.ua/d/uk/obyavlenie/top-velosiped-gravel-alyuminiy-crosser-gravel-nord-28-giant-grevel-IDP5myE.html
Шоссейные велосипеды XC 500 шоссер гравел фикс туринг (Новые),10 900 грн.,Нові,2021-07-20,Київ,Голосіївський,"50.35684, 30.51985",Данил,,https://www.olx.ua/d/uk/obyavlenie/shosseynye-velosipedy-xc-500-shosser-gravel-fiks-turing-novye-IDMeinc.html
Corratec xvert 26,11 500 грн.,Б/в,2022-08-04,Київ,Дарницький,"50.40931, 30.69263",Игорь,,https://www.olx.ua/d/uk/obyavlenie/corratec-xvert-26-IDPj9nu.html
Fix inc Gravel Циклокрос,11 500 грн.,Б/в,2022-08-04,Чернівці,,"48.3, 25.93",Роман,,https://www.olx.ua/d/uk/obyavlenie/fix-inc-gravel-tsiklokros-IDPj6TH.html
"Гравел,шоссейный,гравийный,фикс велосипед Crosser XC 300 28""(Новые!)",11 900 грн.,Нові,2021-06-30,Київ,Голосіївський,"50.35684, 30.51985",Данил,,https://www.olx.ua/d/uk/obyavlenie/gravel-shosseynyy-graviynyy-fiks-velosiped-crosser-xc-300-28-novye-IDM3M6Y.html
Gravel Гравел Delira Велосипед,13 000 грн.,Невідомо,2022-07-27,Харків,Шевченківський ,"50.045, 36.221",Роман,,https://www.olx.ua/d/uk/obyavlenie/gravel-gravel-delira-velosiped-IDPeYpb.html
"Циклокросс 2danger, ETT 56,5 см / шоссер / кросс / гравел",13 500 грн.,Б/в,2020-09-13,Кривий Ріг,Долгинцевський,"47.901, 33.371",Максим,,https://www.olx.ua/d/uk/obyavlenie/tsiklokross-2danger-ett-56-5-sm-shosser-kross-gravel-IDJcBME.html
Велосипед гравийник гравел гревел gravel шоссейник Германия,14 200 грн.,Б/в,2022-06-14,Київ,Деснянський,"50.5186, 30.62532",Александр,,https://www.olx.ua/d/uk/obyavlenie/velosiped-graviynik-gravel-grevel-gravel-shosseynik-germaniya-IDOSpWT.html
"Велосипед гравел, дорожній Airtracks Urban Fahrrad UR.2850",14 500 грн.,Б/в,2022-07-16,Київ,Святошинський,"50.45612, 30.34653",Продавець,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-dorozhny-airtracks-urban-fahrrad-ur-2850-IDP921F.html
"Циклокроссовый Gravel/Endura 28"" 2danger crossroad COMP Shimano 105",14 600 грн.,Б/в,2022-03-27,Чернівці,,"48.3, 25.93",Вело Світ,VeloSvit,https://www.olx.ua/d/uk/obyavlenie/tsiklokrossovyy-gravel-endura-28-2danger-crossroad-comp-shimano-105-IDOklwJ.html
SCOTT Contessa Speedster Gravel 25 (2021) (рама М),42 000 грн.,Б/в,2022-05-01,Гатне,,"50.36166, 30.39784",Виктория,,https://www.olx.ua/d/uk/obyavlenie/scott-contessa-speedster-gravel-25-2021-rama-m-IDOvfOu.html
"Новый алюминиевый велосипед 28"" Leader Fox (Author) дорожный, туринг!",7 995 грн.,Нові,2022-08-04,Київ,Голосіївський,"50.35684, 30.51985",Сергей,,https://www.olx.ua/d/uk/obyavlenie/novyy-alyuminievyy-velosiped-28-leader-fox-author-dorozhnyy-turing-IDPjjKd.html
Гравел Crosser Nord 28,12 000 грн.,Нові,2022-06-13,Одеса,Київський,"46.38471, 30.70913",Артур,А-ВЕЛО,https://www.olx.ua/d/uk/obyavlenie/gravel-crosser-nord-28-IDOS0Pa.html
Crosser Gravel Nord Pro (1*11S) 28/19 черный глянец,14 800 грн.,Нові,2022-07-04,Одеса,Київський,"46.38471, 30.70913",Павел,,https://www.olx.ua/d/uk/obyavlenie/crosser-gravel-nord-pro-111s-28-19-chernyy-glyanets-IDP34VJ.html
Haibike Race 1.0 Gravel велосипед алюмінієвий карбонова вилка 28,14 999 грн.,Б/в,2022-07-21,Стрий,,"49.25663, 23.83511",Олег,Bike-Magazine Lviv,https://www.olx.ua/d/uk/obyavlenie/haibike-race-1-0-gravel-velosiped-alyumnviy-karbonova-vilka-28-IDPbLY1.html
Гравел Fixie Ipc,15 089 грн.,Нові,2021-12-01,Любомль,,"51.22418, 24.03575",Саня,,https://www.olx.ua/d/uk/obyavlenie/gravel-fixie-ipc-IDNuGpt.html
"Велосипед гравийный DeMARCHE Gravel Point 28"" L-TWOO (18S, 2х9)",15 500 грн.,Невідомо,2022-04-24,Одеса,Приморський,"46.467, 30.745",Александр Crosser Official,Crosser bike official,https://www.olx.ua/d/uk/obyavlenie/velosiped-graviynyy-demarche-gravel-point-28-l-twoo-18s-2h9-IDOtnAO.html
Фікс Fixed INC гравел,15 600 грн.,Б/в,2022-07-22,Тернопіль,,"49.56069, 25.61132",Євген,You Velostyle,https://www.olx.ua/d/uk/obyavlenie/fks-fixed-inc-gravel-IDPcaIu.html
"Гравийный велосипед DeMARCHE Gravel Point 28"" L-TWOO ( 2х9) 2022",15 885 грн.,Нові,2021-05-28,Харків,Холодногірський,"50, 36.165",Игорь,Микс-павильон.,https://www.olx.ua/d/uk/obyavlenie/graviynyy-velosiped-demarchegravel-point-28-l-twoo-2h9-2022-IDLKZef.html
"Гравийный велосипед DeMARCHE Gravel Point 28"" L-TWOO, 2022 (Нові)",15 900 грн.,Нові,2022-05-03,Київ,Голосіївський,"50.35684, 30.51985",Данил,,https://www.olx.ua/d/uk/obyavlenie/graviynyy-velosiped-demarche-gravel-point-28-l-twoo-2022-nov-IDOxruI.html
"Гравийный велосипед DeMARCHE Gravel Point 2*9 (Нові) 28"" L-TWOO, 2022",15 900 грн.,Нові,2022-06-30,Хмельницький,,"49.40611, 27.0045",Данил,,https://www.olx.ua/d/uk/obyavlenie/graviynyy-velosiped-demarche-gravel-point-29-nov-28-l-twoo-2022-IDP19bD.html
"Гравийный велосипед DeMARCHE Gravel Point (Нові) 28"" L-TWOO, 2022",15 900 грн.,Нові,2022-05-14,Полтава,,"49.5991, 34.55674",Данил,,https://www.olx.ua/d/uk/obyavlenie/graviynyy-velosiped-demarche-gravel-point-nov-28-l-twoo-2022-IDOC4ma.html
Велосипед Leon XC 70,16 000 грн.,Б/в,2022-05-20,Вінниця,Замостянський,"49.248, 28.519",Артём,,https://www.olx.ua/d/uk/obyavlenie/velosiped-leon-xc-70-IDOFbXg.html
"Gravel, Гравел, Циклокрос Norco Search 105 50",30 000 грн.,Б/в,2022-07-12,Чернівці,,"48.3, 25.93",Василь,,https://www.olx.ua/d/uk/obyavlenie/gravel-gravel-tsiklokros-norco-search-105-50-IDP73Zx.html
"Fuji Jari carbon 1.1 гравийник, гравел, циклокросс за 1860$",74 390 грн.,Б/в,2022-02-17,Одеса,Київський,"46.38471, 30.70913",Руслан,velomedutin,https://www.olx.ua/d/uk/obyavlenie/fuji-jari-carbon-1-1-graviynik-gravel-tsiklokross-za-1860-IDOcqqh.html
Велосипед гравел Felt breed 20,39 200 грн.,Б/в,2022-07-07,Чернівці,,"48.3, 25.93",Вело Світ,VeloSvit,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-felt-breed-20-IDP4H4X.html
Ducati гравел рама 53см,16 000 грн.,Б/в,2022-08-03,Львів,Сихівський,"49.792, 24.064",Anuisik,,https://www.olx.ua/d/uk/obyavlenie/ducati-gravel-rama-53sm-IDPizT0.html
28 Fixie GRAVEL как НОВЫЙ Shimano Claris Disc Германия,17 550 грн.,Б/в,2022-07-27,Запоріжжя,Комунарський,"47.777, 35.186",Artem,"ИНТЕРНЕТ ПРОДАЖА, РАЗБОРК...",https://www.olx.ua/d/uk/obyavlenie/28-fixie-gravel-kak-novyy-shimano-claris-disc-germaniya-IDPf3h9.html
"Romet Mistral Cross шосейний, гравел 28”",17 600 грн.,Нові,2022-07-31,Київ,Дарницький,"50.40931, 30.69263",Николай,,https://www.olx.ua/d/uk/obyavlenie/romet-mistral-cross-shoseyniy-gravel-28-IDPhfZm.html
"Гравійний велосипед DeMARCHE Gravel Point 1*11 28"" 2022 (Нові)",17 900 грн.,Нові,2022-08-09,Житомир,Богунський,"50.27542, 28.64647",Данил,,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-demarche-gravel-point-111-28-2022-nov-IDPlFWj.html
"Гравійний велосипед DeMARCHE Gravel Point 1*11  28"" 2022 (Нові)",17 900 грн.,Нові,2022-08-09,Київ,Голосіївський,"50.35684, 30.51985",Данил,,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-demarche-gravel-point-111-28-2022-nov-IDPlFJj.html
"DeMARCHE Gravel Point 1*11 велосипед гравийный 28"" 2022 (Нові)",17 900 грн.,Нові,2022-06-30,Хмельницький,,"49.40611, 27.0045",Данил,,https://www.olx.ua/d/uk/obyavlenie/demarche-gravel-point-111-velosiped-graviynyy-28-2022-nov-IDP195P.html
"Велосипед гравійний DeMARCHE Gravel Point 1*11 28"" 2022 (Нові)",17 900 грн.,Нові,2022-06-30,Тернопіль,,"49.56069, 25.61132",Данил,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravyniy-demarche-gravel-point-111-28-2022-nov-IDP19OV.html
"Гравийный велосипед DeMARCHE Gravel Point 28"", 2022 (Нові)",17 900 грн.,Нові,2022-05-05,Київ,Голосіївський,"50.35684, 30.51985",Данил,,https://www.olx.ua/d/uk/obyavlenie/graviynyy-velosiped-demarche-gravel-point-28-2022-nov-IDOylNT.html
"Велосипед гравийный  DeMARCHE Gravel Point 28"" 2022 (Нові)",17 900 грн.,Нові,2022-06-14,Полтава,,"49.5991, 34.55674",Данил,,https://www.olx.ua/d/uk/obyavlenie/velosiped-graviynyy-demarche-gravel-point-28-2022-nov-IDOSGeJ.html
"Велосипед гравийный DeMARCHE Gravel Point 28"" 2022 (Нові)",17 900 грн.,Нові,2022-06-14,Черкаси,,"49.4141, 32.06042",Данил,,https://www.olx.ua/d/uk/obyavlenie/velosiped-graviynyy-demarche-gravel-point-28-2022-nov-IDOSGsk.html
Продам велосипед  Cube,45 000 грн.,Б/в,2022-07-22,Ралівка,,"49.50864, 23.25083",Назар,,https://www.olx.ua/d/uk/obyavlenie/prodam-velosiped-cube-IDPcmxa.html
Гравийный велосипед Crosser Gravel NORD 28x700C (17/19/21) 14S/16S,8 800 грн.,Нові,2022-06-25,Одеса,Київський,"46.38471, 30.70913",Павел,,https://www.olx.ua/d/uk/obyavlenie/graviynyy-velosiped-crosser-gravel-nord-28x700c-17-19-21-14s-16s-IDOYvgz.html
"РОЗНИЦА опт дропшиппинг алюміній гревел Crosser Gravel NORD 28"" Trek",8 990 грн.,Нові,2021-06-01,Київ,Голосіївський,"50.35684, 30.51985",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/uk/obyavlenie/roznitsa-opt-dropshipping-alyumny-grevel-crosser-gravel-nord-28-trek-IDLNtsQ.html
"DeMARCHE Gravel Point велосипед гравийный  28"" 2022 (Нові)",17 900 грн.,Нові,2022-06-14,Харків,Індустріальний,"49.933, 36.401",Данил,,https://www.olx.ua/d/uk/obyavlenie/demarche-gravel-point-velosiped-graviynyy-28-2022-nov-IDOSGxn.html
Велосипед Pride Rocx 8.2 gravel touring fix shimano claris sora,18 000 грн.,Б/в,2022-08-08,Київ,Деснянський,"50.5186, 30.62532",Aleksandr,,https://www.olx.ua/d/uk/obyavlenie/velosiped-pride-rocx-8-2-gravel-touring-fix-shimano-claris-sora-IDPlbOQ.html
Велосипед фикс италия сингл шоссейный fixed gear single gitane,18 000 грн.,Б/в,2022-07-02,Київ,Шевченківський,"50.47135, 30.4624",Я   н,,https://www.olx.ua/d/uk/obyavlenie/velosiped-fiks-italiya-singl-shosseynyy-fixed-gear-single-gitane-IDP27ms.html
Велосипед gravel гравел Triban 500 shimano sora (M),18 900 грн.,Б/в,2022-07-16,Чернівці,,"48.3, 25.93",fahrrad,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-gravel-triban-500-shimano-sora-m-IDP9cVR.html
‼️ Велосипед Triban 2021 гравийный шоссейный gravel карбон циклокросс,18 999 грн.,Б/в,2022-06-30,Полтава,,"49.5991, 34.55674",Василий vopros_poltava,Квартирный Вопрос,https://www.olx.ua/d/uk/obyavlenie/velosiped-triban-2021-graviynyy-shosseynyy-gravel-karbon-tsiklokross-IDP1a36.html
СРОЧНО!!! Гравел Pride rocx tour dirt size L 29” (gravel),19 000 грн.,Б/в,2022-07-13,Первомайський,,"49.38628, 36.21511",Александр,,https://www.olx.ua/d/uk/obyavlenie/srochno-gravel-pride-rocx-tour-dirt-size-l-29-gravel-IDP7FPn.html
