Назва товару,Ціна,Стан,Дата публікації,Місто,Район,Координати на карті,Продавець,Магазин,Посилання на оголошення
trek 28 cross гібрид сіті cube spacialized scott гравел гревел,11 222 грн.,Б/у,2021-11-29,Львов,Франковский,"49.839, 23.995",GLK,,https://www.olx.ua/d/obyavlenie/trek-28-cross-gbrid-st-cube-spacialized-scott-gravel-grevel-IDNtegT.html
"Туринг, гравел, gravel TREK, на зріст 170-190",12 000 грн.,Б/у,2022-05-08,Олевск,,"51.22076, 27.64422",Василь,,https://www.olx.ua/d/obyavlenie/turing-gravel-gravel-trek-na-zrst-170-190-IDOzkOX.html
Цикло.кросс Гравел байк Trek. Гравийный туринг28 вилка карбон,12 500 грн.,Б/у,2021-10-30,Креховичи,,"49.00205, 24.15155",Денис,,https://www.olx.ua/d/obyavlenie/tsiklo-kross-gravel-bayk-trek-graviynyy-turing28-vilka-karbon-IDNaAtX.html
Gravel/Endurance велосипед Fixie Inc Race 8,13 880 грн.,Б/у,2021-06-12,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-endurance-velosiped-fixie-inc-race-8-IDLU0lH.html
Corratec  Gravel (2020)  Trek cube Sram Rival 1 елекро гравел scott,57 000 грн.,Б/у,2022-04-18,Ивано-Франковск,,"48.91819, 24.71343",Ua ' If,,https://www.olx.ua/d/obyavlenie/corratec-gravel-2020-trek-cube-sram-rival-1-elekro-gravel-scott-IDOroFL.html
Велосипед Циклокрос Гравел Rose BackRoab карбон,67 000 грн.,Б/у,2022-05-23,Черновцы,,"48.3, 25.93",Василь,,https://www.olx.ua/d/obyavlenie/velosiped-tsiklokros-gravel-rose-backroab-karbon-IDOGTMm.html
"Велосипед Merida Silex 6000 (2021) metallic teal / Gravel, гревел",80 000 грн.,Новый,2022-05-19,Киев,Шевченковский,"50.47135, 30.4624",Богдан,ТОВ «Аш Бі Медікал»,https://www.olx.ua/d/obyavlenie/velosiped-merida-silex-6000-2021-metallic-teal-gravel-grevel-IDOEFte.html
Велосипед BOMBTRACK 2020 ARISE 2 GEARED Gravel/Туринг Surly Salsa Kona,14 385 грн.,Б/у,2021-10-13,Львов,Железнодорожный,"49.839, 23.996",Олександр,,https://www.olx.ua/d/obyavlenie/velosiped-bombtrack-2020-arise-2-geared-gravel-turing-surly-salsa-kona-IDN0GVb.html
"Циклокроссовый Gravel/Endura 28"" 2danger crossroad COMP Shimano 105",14 600 грн.,Б/у,2022-03-27,Черновцы,,"48.3, 25.93",Вело Світ,VeloSvit,https://www.olx.ua/d/obyavlenie/tsiklokrossovyy-gravel-endura-28-2danger-crossroad-comp-shimano-105-IDOklwJ.html
"Гравийный велосипед DeMARCHE Gravel Point 28"" L-TWOO, 2022 (Нові)",14 900 грн.,Новый,2022-05-03,Киев,Голосеевский,"50.35684, 30.51985",Данил,,https://www.olx.ua/d/obyavlenie/graviynyy-velosiped-demarche-gravel-point-28-l-twoo-2022-nov-IDOxruI.html
"Гравийный велосипед DeMARCHE Gravel Point (Нові) 28"" L-TWOO, 2022",14 900 грн.,Новый,2022-05-14,Полтава,,"49.5991, 34.55674",Данил,,https://www.olx.ua/d/obyavlenie/graviynyy-velosiped-demarche-gravel-point-nov-28-l-twoo-2022-IDOC4ma.html
Pride rocx 8.2 flb 2019 прямой карбоновый руль,14 999 грн.,Б/у,2022-05-31,Полтава,,"49.5991, 34.55674",Николай,,https://www.olx.ua/d/obyavlenie/pride-rocx-8-2-flb-2019-pryamoy-karbonovyy-rul-IDOLpGQ.html
Merida s-presso 100 велосипед,15 000 грн.,Б/у,2022-03-22,Киев,Дарницкий,"50.40931, 30.69263",Влад,,https://www.olx.ua/d/obyavlenie/merida-s-presso-100-velosiped-IDOjb5v.html
"Велосипед гравийный DeMARCHE Gravel Point 28"" L-TWOO (18S, 2х9)",15 000 грн.,Невідомо,2022-04-24,Одесса,Приморский,"46.467, 30.745",Александр Crosser Official,Crosser bike official,https://www.olx.ua/d/obyavlenie/velosiped-graviynyy-demarche-gravel-point-28-l-twoo-18s-2h9-IDOtnAO.html
Triban rc 500 / sram rival 1*11 гревел / gravel /розмiр М,15 000 грн.,Б/у,2022-04-27,Тячев,,"48.01115, 23.57584",Никита,,https://www.olx.ua/d/obyavlenie/triban-rc-500-sram-rival-111-grevel-gravel-rozmir-m-IDOuqyY.html
"велосипед,гравійнік,gravel,pride rocx 8.1 2020 рама L",15 500 грн.,Б/у,2022-02-21,Черновцы,,"48.3, 25.93",Максим,,https://www.olx.ua/d/obyavlenie/velosiped-gravynk-gravel-pride-rocx-8-1-2020-rama-l-IDOf2L8.html
Велосипед алюм гревел Crosser Gravel NORD 28 Trek GT гравел циклокросс,8 990 грн.,Новый,2021-06-02,Днепр,Центральный,"48.463, 35.02387",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/obyavlenie/velosiped-alyum-grevel-crosser-gravel-nord-28-trek-gt-gravel-tsiklokross-IDLNTAv.html
"Велосипед циклокросс гравийник, gravel, cx, merida",16 000 грн.,Б/у,2022-02-03,Луганск,Жовтневый,"48.574, 39.308",Кирилл,,https://www.olx.ua/d/obyavlenie/velosiped-tsiklokross-graviynik-gravel-cx-merida-IDO4aj6.html
"Gravel Giant Toughtroad гревел, туринг",19 500 грн.,Б/у,2022-05-29,Сумы,,"50.9074, 34.80236",Роман,,https://www.olx.ua/d/obyavlenie/gravel-giant-toughtroad-grevel-turing-IDOJVEH.html
Gravel/Циклокросс White GX  Shimano Tiaga  2*10 sp,15 797 грн.,Б/у,2022-05-14,Днепр,Амур-Нижнеднепровский,"48.55694, 34.97792",Иван,VeloStok,https://www.olx.ua/d/obyavlenie/gravel-tsiklokross-white-gx-shimano-tiaga-210-sp-IDOCmNN.html
Велосипед гравійник Gravel Bulls,15 800 грн.,Б/у,2022-02-20,Луцк,,"50.74158, 25.28939",Вадім,Велосипеди та Лижі з Європи,https://www.olx.ua/d/obyavlenie/velosiped-gravynik-gravel-bulls-IDOetdD.html
"Шоссейный велосипед Giant, Cube, Scott, Trek,Canyon,циклокросс, gravel",15 999 грн.,Б/у,2022-02-16,Советское,,"50.11951, 25.6899",Андрей,,https://www.olx.ua/d/obyavlenie/shosseynyy-velosiped-giant-cube-scott-trek-canyon-tsiklokross-gravel-IDObVYy.html
Велосипед Specialized Crosstrail Gravel 2019,16 000 грн.,Б/у,2021-11-12,Хуст,,"48.18232, 23.30492",Віктор,,https://www.olx.ua/d/obyavlenie/velosiped-specialized-crosstrail-gravel-2019-IDNi55e.html
Gravel/Touring велосипед Kona Sutra,16 242 грн.,Б/у,2021-04-26,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-touring-velosiped-kona-sutra-IDLstvq.html
28 колеса trek туринг гравел гревел не cube specialized,16 242 грн.,Б/у,2022-02-02,Львов,Франковский,"49.839, 23.995",GLK,,https://www.olx.ua/d/obyavlenie/28-kolesa-trek-turing-gravel-grevel-ne-cube-specialized-IDO3eAV.html
Велосипед Гравел Genesis Sora Gravel cube туринг цыклокросс,16 500 грн.,Б/у,2021-11-07,Черновцы,,"48.3, 25.93",Тарас,,https://www.olx.ua/d/obyavlenie/velosiped-gravel-genesis-sora-gravel-cube-turing-tsyklokross-IDNfcIV.html
Велосипед гравел туринг цыклокросс Eastway balun Gravel cube scott,16 500 грн.,Б/у,2021-11-12,Черновцы,,"48.3, 25.93",Тарас,,https://www.olx.ua/d/obyavlenie/velosiped-gravel-turing-tsyklokross-eastway-balun-gravel-cube-scott-IDNia07.html
"Гравийный велосипед DeMARCHE Gravel Point 28"", 2022 (Нові)",16 600 грн.,Новый,2022-05-05,Киев,Голосеевский,"50.35684, 30.51985",Данил,,https://www.olx.ua/d/obyavlenie/graviynyy-velosiped-demarche-gravel-point-28-2022-nov-IDOylNT.html
"Велосипед Ridley X-Bow Циклокросс(cyclo-cross,gravel)",17 000 грн.,Б/у,2021-07-16,Харьков,Основянский,"49.928, 36.22",Иван,,https://www.olx.ua/d/obyavlenie/velosiped-ridley-x-bow-tsiklokrosscyclo-cross-gravel-IDMcciM.html
"Гравел CUBE NUROAD PRO FE (2021)Carbon/Tiagra,велосипед Gravel",24 200 грн.,Б/у,2022-05-22,Каменка-Бугская,,"50.09947, 24.34957",Олег,ВелоДруг,https://www.olx.ua/d/obyavlenie/gravel-cube-nuroad-pro-fe-2021carbon-tiagra-velosiped-gravel-IDOGhQ2.html
Гравийний grevel гравел Хромоль ! GRX ! Brooks ! Marin Cube Giant Trek,32 500 грн.,Б/у,2021-07-10,Тернополь,,"49.56069, 25.61132",хххРОМАххх,,https://www.olx.ua/d/obyavlenie/graviyniy-grevel-gravel-hromol-grx-brooks-marin-cube-giant-trek-IDM9ayf.html
Гравел Scott spidster10 (М),34 600 грн.,Б/у,2022-05-30,Белки,,"48.32948, 23.11653",артур,,https://www.olx.ua/d/obyavlenie/gravel-scott-spidster10-m-IDOK8zZ.html
"Eastway CX2.0 гравел, циклокрос",17 500 грн.,Б/у,2022-05-27,Ивано-Франковск,,"48.91819, 24.71343",Sergiy,,https://www.olx.ua/d/obyavlenie/eastway-cx2-0-gravel-tsiklokros-IDOIE4M.html
Гравел DeMaRCHE Stone,17 500 грн.,Новый,2022-05-28,Одесса,Малиновский,"46.46309, 30.67813",Юрий,,https://www.olx.ua/d/obyavlenie/gravel-demarche-stone-IDOJxp9.html
Продам велосипед Gravel Bergamont Gram Durance 5 (Ціна 480$ торг),17 500 грн.,Б/у,2022-05-31,Коломыя,,"48.53, 25.04",Роман,VeloRoma,https://www.olx.ua/d/obyavlenie/prodam-velosiped-gravel-bergamont-gram-durance-5-tsna-480-torg-IDOLoSp.html
Велосипед Liv (Giant) Rove 1 28” ( Cube Trek Scott Merida Ktm) SALE,17 689 грн.,Б/у,2021-07-27,Ровно,,"50.61634, 26.257",Євгений,Роверок,https://www.olx.ua/d/obyavlenie/velosiped-liv-giant-rove-1-28-cube-trek-scott-merida-ktm-sale-IDMhDw4.html
Американский гравел MARIN Gravel . Cube.Specialized.Cannondale.carbon,17 719 грн.,Б/у,2022-02-18,Киев,Оболонский,"50.51015, 30.50243",Владимир,Склад магазин Велосипедов...,https://www.olx.ua/d/obyavlenie/amerikanskiy-gravel-marin-gravel-cube-specialized-cannondale-carbon-IDOd3BI.html
Циклокроссовый Gravel/Endurance велосипед Merida Cyclocross 100 2019,18 000 грн.,Б/у,2020-12-07,Мариуполь,,"47.12688, 37.56024",Александр,,https://www.olx.ua/d/obyavlenie/tsiklokrossovyy-gravel-endurance-velosiped-merida-cyclocross-100-2019-IDK3JUm.html
"Gravel велосипед Salsa Journeyman, 650b, 2019",18 162 грн.,Б/у,2021-09-02,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-velosiped-salsa-journeyman-650b-2019-IDMClqA.html
Велосипед гревел гравел цк Focus Mares AX-1,18 300 грн.,Б/у,2022-03-20,Киев,Дарницкий,"50.40931, 30.69263",Захар,,https://www.olx.ua/d/obyavlenie/velosiped-grevel-gravel-tsk-focus-mares-ax-1-IDOiJoI.html
Gravel/Cross велосипед Radial Revere X 2.1,18 309 грн.,Б/у,2021-07-29,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-cross-velosiped-radial-revere-x-2-1-IDMiNNx.html
"Gravel/Endurance велосипед B'Twin Triban RC 500 Disc, Dynamo+",18 309 грн.,Б/у,2022-02-13,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-endurance-velosiped-btwin-triban-rc-500-disc-dynamo-IDOajKt.html
"Продам велосипед шоссейный (gravel, гравийный) Cube Nuroad Race",35 000 грн.,Б/у,2022-05-30,Кременчуг,,"49.10325, 33.43006",Владимир,,https://www.olx.ua/d/obyavlenie/prodam-velosiped-shosseynyy-gravel-graviynyy-cube-nuroad-race-IDOKici.html
Гравел Trek checkpoint alr4 2021,36 000 грн.,Б/у,2022-01-29,Киев,Святошинский,"50.45612, 30.34653",Sergey,,https://www.olx.ua/d/obyavlenie/gravel-trek-checkpoint-alr4-2021-IDO0YIM.html
Cannondale topstone 3 gravel Sora гравел велосипед,37 000 грн.,Б/у,2022-06-02,Бровары,,"50.50568, 30.77972",Anthony,,https://www.olx.ua/d/obyavlenie/cannondale-topstone-3-gravel-sora-gravel-velosiped-IDOMd05.html
Trek Domane 2 Gravel гравійний Cube Trek Giant Specialized,18 900 грн.,Б/у,2021-12-26,Коломыя,,"48.53, 25.04",Kolya,,https://www.olx.ua/d/obyavlenie/trek-domane-2-gravel-gravyniy-cube-trek-giant-specialized-IDNJpsI.html
28 GRAVEL Германия Гравийник  Cube Trek Merida Giant Orbea Ghost Kona,18 999 грн.,Б/у,2022-04-09,Запорожье,Коммунарский,"47.777, 35.186",Artem,"ИНТЕРНЕТ ПРОДАЖА, РАЗБОРК...",https://www.olx.ua/d/obyavlenie/28-gravel-germaniya-graviynik-cube-trek-merida-giant-orbea-ghost-kona-IDOnZkS.html
28 TRIBAN RC 500 GRAVEL DISC вилка CARBON. Гравийник Cube Trek Merida,18 999 грн.,Б/у,2022-05-04,Запорожье,Коммунарский,"47.777, 35.186",Artem,"ИНТЕРНЕТ ПРОДАЖА, РАЗБОРК...",https://www.olx.ua/d/obyavlenie/28-triban-rc-500-gravel-disc-vilka-carbon-graviynik-cube-trek-merida-IDOxQvn.html
Гравел Merida Speeder 400,19 000 грн.,Невідомо,2020-07-14,Харьков,Московский,"49.962, 36.343",Виталий,,https://www.olx.ua/d/obyavlenie/gravel-merida-speeder-400-IDIDslV.html
Велосипед\ городской\ гравел\ циклкрос Merida SPEEDER 300 2019р.,19 195 грн.,Б/у,2020-09-25,Ивано-Франковск,,"48.91819, 24.71343",Ігор,Вело-Спорт,https://www.olx.ua/d/obyavlenie/velosiped-gorodskoy-gravel-tsiklkros-merida-speeder-300-2019r-IDJks0H.html
Gravel/кроссовый велосипед Btwin Triban RC 520,19 195 грн.,Б/у,2021-10-05,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-krossovyy-velosiped-btwin-triban-rc-520-IDMVzKu.html
Велосипед Scott Sportster 20 гибрид/гравел,19 195 грн.,Б/у,2022-04-10,Чернигов,,"51.49958, 31.27966",Юрий,,https://www.olx.ua/d/obyavlenie/velosiped-scott-sportster-20-gibrid-gravel-IDOovPX.html
Gravel/циклокроссовый велосипед Kona Jake CX,19 490 грн.,Б/у,2021-04-26,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-tsiklokrossovyy-velosiped-kona-jake-cx-IDLstBD.html
Велосипед Гравел Fuji Cross LE One 5 (Shimano 105),19 786 грн.,Б/у,2021-12-13,Хуст,,"48.18232, 23.30492",Сергій,,https://www.olx.ua/d/obyavlenie/velosiped-gravel-fuji-cross-le-one-5-shimano-105-IDNCn6j.html
Велосипед туринг гравел Genesis shimano nexus 8,19 800 грн.,Б/у,2022-03-19,Черновцы,,"48.3, 25.93",fahrrad,,https://www.olx.ua/d/obyavlenie/velosiped-turing-gravel-genesis-shimano-nexus-8-IDOizIS.html
Corratec  Gravel (2020)  Trek cube Sram Rival 1 елекро гравел scott,57 000 грн.,Б/у,2022-04-18,Ивано-Франковск,,"48.91819, 24.71343",Ua ' If,,https://www.olx.ua/d/obyavlenie/corratec-gravel-2020-trek-cube-sram-rival-1-elekro-gravel-scott-IDOroFL.html
Велосипед Циклокрос Гравел Rose BackRoab карбон,67 000 грн.,Б/у,2022-05-23,Черновцы,,"48.3, 25.93",Василь,,https://www.olx.ua/d/obyavlenie/velosiped-tsiklokros-gravel-rose-backroab-karbon-IDOGTMm.html
29x3.0 Salsa Fargo Custom гравийный монстеркросс гравел гравийник,99 999 грн.,Б/у,2022-04-09,Хмельницкий,,"49.40611, 27.0045",Продавец,,https://www.olx.ua/d/obyavlenie/29x3-0-salsa-fargo-custom-graviynyy-monsterkross-gravel-graviynik-IDOnYZP.html
Гравийний grevel гравел Marin Lombard 1/2021/49см/Cube Giant Trek,20 000 грн.,Б/у,2021-07-02,Тернополь,,"49.56069, 25.61132",хххРОМАххх,,https://www.olx.ua/d/obyavlenie/graviyniy-grevel-gravel-marin-lombard-1-2021-49sm-cube-giant-trek-IDM4WbL.html
Велосипед циклокросс (гравел) Fuji cross one.6 ltd,20 000 грн.,Б/у,2021-10-06,Львов,Сиховский,"49.792, 24.064",Oleg,,https://www.olx.ua/d/obyavlenie/velosiped-tsiklokross-gravel-fuji-cross-one-6-ltd-IDMVIUY.html
Велосипед Leon XC70,20 000 грн.,Б/у,2022-05-20,Винница,Замостянский,"49.248, 28.519",Артём,,https://www.olx.ua/d/obyavlenie/velosiped-leon-xc70-IDOFbXg.html
Gravel/туринговый велосипед Fuji TOURING,20 081 грн.,Б/у,2021-04-26,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-turingovyy-velosiped-fuji-touring-IDLst4n.html
Маленький Gravel/Cross велосипед Guerciotti Gieten,20 229 грн.,Б/у,2021-09-02,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/malenkiy-gravel-cross-velosiped-guerciotti-gieten-IDMCmP0.html
"Fuji Touring LTD туринг, гравел",20 376 грн.,Б/у,2021-12-02,Одесса,Киевский,"46.38471, 30.70913",Руслан,velomedutin,https://www.olx.ua/d/obyavlenie/fuji-touring-ltd-turing-gravel-IDNwmMy.html
28 CUBE SL ROAD PRO 2020 Sram GX Eagle 1X12. Гибрид. Гравийник Gravel,20 500 грн.,Б/у,2022-04-30,Запорожье,Коммунарский,"47.777, 35.186",Artem,"ИНТЕРНЕТ ПРОДАЖА, РАЗБОРК...",https://www.olx.ua/d/obyavlenie/28-cube-sl-road-pro-2020-sram-gx-eagle-1x12-gibrid-graviynik-gravel-IDOv9yY.html
Велосипед гравел туринг Liv giant xs cube cannondale specialized scott,20 800 грн.,Б/у,2022-03-19,Черновцы,,"48.3, 25.93",Продавець,,https://www.olx.ua/d/obyavlenie/velosiped-gravel-turing-liv-giant-xs-cube-cannondale-specialized-scott-IDOiBOd.html
"Гравел велосипед Crosser Nord  28""",9 000 грн.,Новый,2021-04-28,Одесса,Киевский,"46.38471, 30.70913",Артур,А-ВЕЛО,https://www.olx.ua/d/obyavlenie/gravel-velosiped-crosser-nord-28-IDLtCMo.html
"Велосипед циклокросс гравийник, gravel, cx, merida",16 000 грн.,Б/у,2022-02-03,Луганск,Жовтневый,"48.574, 39.308",Кирилл,,https://www.olx.ua/d/obyavlenie/velosiped-tsiklokross-graviynik-gravel-cx-merida-IDO4aj6.html
Гравел DeMaRCHE Stone,17 500 грн.,Новый,2022-05-28,Одесса,Малиновский,"46.46309, 30.67813",Юрий,,https://www.olx.ua/d/obyavlenie/gravel-demarche-stone-IDOJxp9.html
Туринг Bulls Daily гравел циклокрос из Германии (как новый),20 967 грн.,Б/у,2021-12-19,Ирпень,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/obyavlenie/turing-bulls-daily-gravel-tsiklokros-iz-germanii-kak-novyy-IDNFHWW.html
Гравийный велосипед Gravel Spirit Piligrim 8.1 28 !ВІЙСЬКОВИМ ЗНИЖКА!,21 450 грн.,Новый,2021-09-22,Киев,Голосеевский,"50.35684, 30.51985",Александр,ROWER LIFE,https://www.olx.ua/d/obyavlenie/graviynyy-velosiped-gravel-spirit-piligrim-8-1-28-vyskovim-znizhka-IDMOyDG.html
Велосипед туринг гравел Fahrrad manufaktur T-Randonneur S 57 см cube,21 900 грн.,Б/у,2022-04-29,Черновцы,,"48.3, 25.93",Тарас,,https://www.olx.ua/d/obyavlenie/velosiped-turing-gravel-fahrrad-manufaktur-t-randonneur-s-57-sm-cube-IDOwD6T.html
Велосипед гравел gravel Focus  shimano tiagra 60 cm.,21 900 грн.,Б/у,2022-04-29,Черновцы,,"48.3, 25.93",fahrrad,,https://www.olx.ua/d/obyavlenie/velosiped-gravel-gravel-focus-shimano-tiagra-60-cm-IDOwFxf.html
Gravel/туринговый велосипед Fuji TOURING Disc LTD 2020,22 148 грн.,Б/у,2021-04-26,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-turingovyy-velosiped-fuji-touring-disc-ltd-2020-IDLsEvb.html
Горный велосипед Canyon Grand cube trek scott cannondale merida gt,22 148 грн.,Б/у,2021-09-02,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/gornyy-velosiped-canyon-grand-cube-trek-scott-cannondale-merida-gt-IDMCzW1.html
Городской велосипед Bergamont Sweep  trek cube scott gravel canyon,22 200 грн.,Б/у,2021-11-04,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/gorodskoy-velosiped-bergamont-sweep-trek-cube-scott-gravel-canyon-IDNdsMf.html
Гравел Bulls Daily Grinder 1 2020 Cube Merida Bianchi Specialized KTM,22 739 грн.,Б/у,2021-09-19,Киев,Днепровский,"50.45964, 30.61717",Веломан,ВЕЛОМАН,https://www.olx.ua/d/obyavlenie/gravel-bulls-daily-grinder-1-2020-cube-merida-bianchi-specialized-ktm-IDMMIpT.html
Велосипед гравел Bergamont Gran durance 3 cube specialized cannondale,22 800 грн.,Б/у,2022-04-09,Черновцы,,"48.3, 25.93",Тарас,,https://www.olx.ua/d/obyavlenie/velosiped-gravel-bergamont-gran-durance-3-cube-specialized-cannondale-IDOo6nw.html
Gravel / Touring велосипед Marin Four Corners 2020,23 034 грн.,Б/у,2021-04-26,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-touring-velosiped-marin-four-corners-2020-IDLssRO.html
"Топовый велосипед Canyon R096 RoadLite SL гравел, шоссейный urban",29 236 грн.,Б/у,2021-12-30,Ирпень,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/obyavlenie/topovyy-velosiped-canyon-r096-roadlite-sl-gravel-shosseynyy-urban-IDNLz31.html
Гравийний grevel гравел Хромоль ! GRX ! Brooks ! Marin Cube Giant Trek,32 500 грн.,Б/у,2021-07-10,Тернополь,,"49.56069, 25.61132",хххРОМАххх,,https://www.olx.ua/d/obyavlenie/graviyniy-grevel-gravel-hromol-grx-brooks-marin-cube-giant-trek-IDM9ayf.html
SCOTT Contessa Speedster Gravel 25 (2021) (рама М),33 961 грн.,Б/у,2022-05-01,Гатное,,"50.36166, 30.39784",Виктория,,https://www.olx.ua/d/obyavlenie/scott-contessa-speedster-gravel-25-2021-rama-m-IDOvfOu.html
Гравел Serious Grafix 2017 Cube Scott Trek Giant Specialized Canyon GT,23 329 грн.,Б/у,2021-09-19,Киев,Днепровский,"50.45964, 30.61717",Веломан,ВЕЛОМАН,https://www.olx.ua/d/obyavlenie/gravel-serious-grafix-2017cube-scott-trek-giant-specialized-canyon-gt-IDMMInI.html
"Gavia Randonneur CycloCross/Gravel
Shimano Tiagra 2*10 sp 4700",23 380 грн.,Б/у,2021-08-19,Киев,Печерский,"50.41847, 30.54521",Иван,VeloStok,https://www.olx.ua/d/obyavlenie/gavia-randonneur-cyclocross-gravelshimano-tiagra-210-sp-4700-IDMugWM.html
Pride rocx tour dirt 2019 (L- XL),23 499 грн.,Б/у,2022-01-01,Киев,Дарницкий,"50.40931, 30.69263",Руслан,,https://www.olx.ua/d/obyavlenie/pride-rocx-tour-dirt-2019-l-xl-IDNM4ZP.html
гравел Focus ax mares,23 625 грн.,Б/у,2022-05-09,Харьков,Основянский,"49.928, 36.22",Андрей,,https://www.olx.ua/d/obyavlenie/gravel-focus-ax-mares-IDOzT4H.html
Велосипед SRAM RiVAL,23 696 грн.,Б/у,2021-12-05,Новая Каховка,,"46.75153, 33.36782",Дмитрий,,https://www.olx.ua/d/obyavlenie/velosiped-sram-rival-IDNxkIE.html
"Велосипед Trek Checkpoint AL3 2020 ( Gravel, Гревел, Гравійник )",23 900 грн.,Б/у,2022-05-01,Ровно,,"50.61634, 26.257",Pasha,,https://www.olx.ua/d/obyavlenie/velosiped-trek-checkpoint-al3-2020-gravel-grevel-gravynik-IDOvzb3.html
Велосипед Cannondale Synapse gravel шосейник shimano sora 51 s m 2021,24 000 грн.,Б/у,2022-05-22,Киев,Днепровский,"50.45964, 30.61717",Владислав,,https://www.olx.ua/d/obyavlenie/velosiped-cannondale-synapse-gravel-shoseynik-shimano-sora-51-s-m-2021-IDOGfKe.html
"Гравел CUBE NUROAD PRO FE (2021)Carbon/Tiagra,велосипед Gravel",24 200 грн.,Б/у,2022-05-22,Каменка-Бугская,,"50.09947, 24.34957",Олег,ВелоДруг,https://www.olx.ua/d/obyavlenie/gravel-cube-nuroad-pro-fe-2021carbon-tiagra-velosiped-gravel-IDOGhQ2.html
Gravel/Endurance кроссовый велосипед Btwin Triban RC 520,24 215 грн.,Б/у,2021-01-10,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-endurance-krossovyy-velosiped-btwin-triban-rc-520-IDKm8t3.html
"Gravel/Endurance велосипед Btwin Triban RC 520 XS, M, L, XL",24 215 грн.,Б/у,2021-04-26,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-endurance-velosiped-btwin-triban-rc-520-xs-m-l-xl-IDLsx78.html
Новий карбоновий велосипед гревел  Twitter Gravel.,34 000 грн.,Новый,2021-08-14,Киев,Подольский,"50.49575, 30.43854",Виталий,,https://www.olx.ua/d/obyavlenie/noviy-karbonoviy-velosiped-grevel-twitter-gravel-IDMrRRs.html
електро гравел ebike Orbea Gain 2020 Gravel GRX cube trek specialized,51 679 грн.,Б/у,2021-10-20,Ужгород,,"48.61981, 22.29811",юра,VELOMAN,https://www.olx.ua/d/obyavlenie/elektro-gravel-ebike-orbea-gain-2020-gravel-grx-cube-trek-specialized-IDN54F0.html
Corratec  Gravel (2020)  Trek cube Sram Rival 1 елекро гравел scott,57 000 грн.,Б/у,2022-04-18,Ивано-Франковск,,"48.91819, 24.71343",Ua ' If,,https://www.olx.ua/d/obyavlenie/corratec-gravel-2020-trek-cube-sram-rival-1-elekro-gravel-scott-IDOroFL.html
"Гревел, гравійник, BULLS, гравел",24 215 грн.,Б/у,2021-11-05,Черновцы,,"48.3, 25.93",Bike Center CV,Bike Center CV,https://www.olx.ua/d/obyavlenie/grevel-gravynik-bulls-gravel-IDNeh02.html
Gravel/туринговый велосипед Fuji TOURING Disc LTD 2020,24 363 грн.,Б/у,2020-11-13,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-turingovyy-velosiped-fuji-touring-disc-ltd-2020-IDJOh3N.html
Triban RC 520  XL,24 700 грн.,Б/у,2022-01-24,Галич,,"49.11, 24.73",Михаил,velogarage,https://www.olx.ua/d/obyavlenie/triban-rc-520-xl-IDNXM1N.html
"Велосипед гравійний, циклокрос Merida 500, Shimano 105, size XL",24 750 грн.,Б/у,2021-12-26,Ивано-Франковск,,"48.91819, 24.71343",Ярослав,Urban Bike Club,https://www.olx.ua/d/obyavlenie/velosiped-gravyniy-tsiklokros-merida-500-shimano-105-size-xl-IDNJOXV.html
